lons lats
-23 -90
-22.5 -89.5
-22.0 -89.0
-21.5 -88.5
-21.0 -88.0
-20.5 -87.5
-20.0 -87.0
-19.5 -86.5
-19.0 -86.0
-18.5 -85.5
-18.0 -85.0
-17.5 -84.5
-17.0 -84.0
-16.5 -83.5
-16.0 -83.0
-15.5 -82.5
-15.0 -82.0
-14.5 -81.5
-14.0 -81.0
-13.5 -80.5
-13.0 -80.0
-12.5 -79.5
-12.0 -79.0
-11.5 -78.5
-11.0 -78.0
-10.5 -77.5
-10.0 -77.0
-9.5 -76.5
-9.0 -76.0
-8.5 -75.5
-8.0 -75.0
-7.5 -74.5
-7.0 -74.0
-6.5 -73.5
-6.0 -73.0
-5.5 -72.5
-5.0 -72.0
-4.5 -71.5
-4.0 -71.0
-3.5 -70.5
-3.0 -70.0
-2.5 -69.5
-2.0 -69.0
-1.5 -68.5
-1.0 -68.0
-0.5 -67.5
0.0 -67.0
