ESTACIONES;LONEST;LATEST;ELEEST;ENERO;FEBRERO;MARZO;ABRIL;MAYO;JUNIO;JULIO;AGOSTO;SEPTIEMBRE;OCTUBRE;NOVIEMBRE;DICIEMBRE;PRONO1;PRONO2;PRONO3
BUENAVISTA;-78.2;-9.434;216;0;0;69.4;0;0;0;0;0;0;0;0;1.9;0;0;0
ALCANTARILLA;-77.55;-11.05;120;0;0.5;1.3;0;;0.2;0.2;1.5;0.6;0;0;0.1;0;0;0
CAMAY;-77.649;-10.913;59;0.1;0;0.1;0.6;;0.9;0.8;1.6;1.3;0.9;0;;0.02;0.02;0.01
LOMASDELACHAY;-77.367;-11.367;300;0.9;1.2;7.3;10.3;16.8;24.4;25.6;37.4;41.8;5.6;9.1;;0.72;0.41;0.38
HUAYAN;-77.117;-11.45;350;5.3;1.3;9.9;2.1;2.8;6.1;4;6.2;4.8;0.1;1.3;0;0;0;0
NANA;-76.839;-11.989;523;4.4;0.4;5.8;0;2.8;1.9;1.5;0;1.7;1.6;1.4;0;0;0;0
FONAGRO;-76.136;-13.474;60;6.3;0.2;0.4;0.3;0.5;2.3;0.5;1.5;3.7;1.5;1.6;0.5;0.49;0.35;0.16
HACIENDABERNALES;-75.966;-13.763;294;4.7;0;0.2;0;0.2;0.2;0;0.3;0.2;0;0;0;0;0;0
RIOGRANDE;-75.22;-14.542;317;34.5;0.9;3.4;0.1;0;0.3;0.2;0;0;0;0;0.1;0;0;0
SANCAMILO;-75.729;-14.068;398;36.5;1.3;9.6;0;0.8;0.7;0.4;0;0.1;0.1;0.1;0.1;0;0;0
COPARA;-74.915;-14.983;600;8.3;0.1;1.5;0;0;0;0;0;0;0;0;0.1;0;0;0
OCUCAJE;-75.681;-14.383;313;11;0.2;0.2;0;0.1;0.4;0;0;0;0.2;0;0;0.31;0.02;0.38
PUNTAATICO;-73.694;-16.229;20;0.4;0;0;0;0.5;0.7;0.3;0.4;0.7;0.4;0;;5.06;4.08;5.77
PAMPABLANCA;-71.723;-17.069;100;2.3;0;0.1;0.1;0.5;0.6;0.8;0;0.9;0;0;;0.01;0.17;1.85
ILO;-71.288;-17.627;75;0;0;0;0;0;0;3;0;0;0;0;0;0;0;1.59
SAMAGRANDE;-70.488;-17.784;534;0;0;0;0;0;2;10.8;0.7;15.7;1.1;5.8;0;0.04;0;0.96
JORGEBASADRE;-70.251;-18.027;545;0.2;2;0;0;0.6;5.3;10;2.7;11.1;1.5;7.2;0.2;0;0;0.09
PUNTACOLES;-71.374;-17.699;25;0.5;0;0;0;0.1;0.3;16;0;0.9;0.1;0.2;0;0.12;0.11;1.41
PUERTOPIZARRO;-80.457;-3.508;7;249.6;251.8;250.2;63;32.4;0;0.2;0;0;0.8;0;0;30.8;26.59;21.85
PAPAYAL;-80.237;-3.576;45;155.8;86.9;298.2;137.7;61.5;0.8;0;0.6;0.3;0.3;0;6.6;1.71;1.21;2.2
CANAVERAL;-80.661;-3.949;159;152.8;230;370.2;131.6;36.9;0.7;0;0;0;0;0;0;0.1;0;0
MIRAFLORES;-80.627;-5.169;30;89.5;198.4;524.1;7.1;3.5;;0.2;0;0;1.8;0;0.2;3.86;4.42;2.7
MALLARES;-80.746;-4.864;29;20.2;167.3;450.2;11;5.6;0;0.5;0;0;0.5;0.5;0;3.91;4.69;2.46
LAESPERANZA;-81.068;-4.932;6;13;122.5;195.9;0.9;3.8;0;0;0;0;0.2;0.21;0.2;4.93;5.41;2.26
CHUSIS;-80.847;-5.525;6;20.9;24.7;612.6;0;1.5;0;0;0;0;0;0;0.2;12.71;14.45;9.18
MORROPON;-79.984;-5.184;109;205.8;680.7;900;82.2;11.7;0.5;0;0.2;0;8.7;0.1;4;0;0;5.42
SANMIGUEL;-80.682;-5.304;20;97.4;86.3;503.5;1.7;2.9;0;0;0;0;0.1;0;0.1;5.79;5.97;3.68
CHULUCANAS;-80.169;-5.102;87;;;1151.4;87.3;16.2;0.1;0;1.5;0;4.7;0.3;0;0;0;4.63
